compile,part_type_filter,group,name
1,Floor Mats - All-Weather;Floor Mats - Rubber,1,Floor Mats
1,Floor Mats - All-Weather,1,Floor Mats
1,Floor Mats - Rubber,1,Floor Mats
1,Floor Mats,1,Floor Mats
0,Brake Kits,2,Brake Kits
0,Performance Chips & Programmers,3,Performance Chips & Programmers
0,Shocks & Struts,4,Shocks & Struts
0,Coil-Overs,5,Coil-Overs
0,Suspension Lift Kits,6,Suspension Lift Kits
0,Wheels,7,Wheels
0,Headlight Assemblies,8,Headlight Assemblies
0,Nerf Bars & Step Bars,9,Nerf Bars & Step Bars
1,Air Deflectors,10,Air Deflectors
